                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97188,                  4.598,                 1.0525,                0.00154,                0.27624,                0.04258,                0.03366,                0.78853,                 4.3174,                0.95344,             0.00015827,             0.00015827,             0.00015827
                      2,                 1.0465,                 3.6599,                 1.0392,                0.00437,                0.82192,                0.20129,                0.14755,                0.90257,                  3.819,                0.91379,             0.00032326,             0.00032326,             0.00032326
                      3,                 1.0277,                 3.0569,                 1.0031,                0.00698,                0.84976,                0.28783,                0.21781,                0.90602,                 3.4778,                0.91074,              0.0004866,              0.0004866,              0.0004866
                      4,                 1.0534,                 2.8846,                 1.0419,                      1,                0.03544,                 0.3062,                0.23485,                0.87665,                 3.4409,                0.99138,              0.0006483,              0.0006483,              0.0006483
                      5,                 1.0096,                 2.4665,                0.99927,                0.86619,                0.16298,                0.39566,                0.29014,                0.98692,                 3.2909,                 1.0194,             0.00080834,             0.00080834,             0.00080834
                      6,                0.99231,                 2.4466,                 1.0569,                0.56862,                0.25703,                 0.4111,                0.30623,                0.93577,                 2.6729,                0.98389,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.0146,                 2.2877,                 1.0568,                0.63686,                0.46749,                0.52613,                0.37421,                0.94132,                 2.2665,                 1.0056,             0.00081238,             0.00081238,             0.00081238
                      8,                 0.9512,                 2.0361,                 1.0451,                0.64973,                0.51411,                0.59108,                0.43534,                0.88443,                 1.9111,                 0.9986,             0.00080826,             0.00080826,             0.00080826
                      9,                0.93609,                 2.0027,                 1.0225,                0.54097,                0.70563,                0.72909,                0.54114,                 0.9661,                 1.7485,                 1.0306,             0.00080414,             0.00080414,             0.00080414
                     10,                0.88799,                 1.8458,                0.99283,                0.79123,                0.55022,                0.68459,                0.54069,                0.87132,                 1.7707,                0.98717,             0.00080001,             0.00080001,             0.00080001
                     11,                0.93539,                 1.8843,                 1.0153,                0.68457,                0.58829,                0.73254,                0.56084,                0.86257,                 1.4559,                 1.0059,             0.00079589,             0.00079589,             0.00079589
                     12,                0.92291,                 1.7245,                 1.0146,                 0.5694,                0.63662,                 0.7147,                0.57244,                0.84551,                 1.3904,                0.97405,             0.00079177,             0.00079177,             0.00079177
                     13,                0.92439,                 1.6416,                 1.0146,                0.89483,                0.59761,                0.70997,                0.55759,                0.82038,                 1.1866,                 0.9777,             0.00078764,             0.00078764,             0.00078764
                     14,                0.91708,                 1.5589,                 1.0397,                0.69218,                0.71354,                0.71258,                0.57497,                0.82974,                 1.4764,                0.97833,             0.00078352,             0.00078352,             0.00078352
                     15,                0.87139,                 1.4704,                 1.0091,                0.66006,                0.88317,                0.79726,                0.65683,                0.80645,                 1.2004,                  0.965,              0.0007794,              0.0007794,              0.0007794
                     16,                0.88036,                  1.389,                0.99946,                0.63215,                0.81066,                0.79089,                0.63564,                0.82984,                  1.277,                 0.9806,             0.00077527,             0.00077527,             0.00077527
                     17,                0.88488,                 1.3232,                 1.0049,                0.78655,                0.74472,                0.84066,                0.66703,                0.81132,                 1.1254,                0.96171,             0.00077115,             0.00077115,             0.00077115
                     18,                0.90213,                 1.4129,                 1.0414,                0.65369,                0.80924,                0.76591,                0.59734,                0.88401,                  1.125,                0.97709,             0.00076703,             0.00076703,             0.00076703
                     19,                0.85436,                  1.264,                0.97909,                0.73112,                0.84613,                0.87497,                 0.7084,                0.79886,                0.97967,                0.94704,              0.0007629,              0.0007629,              0.0007629
                     20,                0.86547,                 1.2262,                 1.0067,                0.73617,                0.95748,                0.89579,                 0.7334,                0.81025,                0.92376,                0.96327,             0.00075878,             0.00075878,             0.00075878
                     21,                0.81859,                 1.1756,                0.99365,                0.61672,                0.80936,                0.81414,                0.65938,                0.84009,                0.97422,                0.97369,             0.00075466,             0.00075466,             0.00075466
                     22,                0.84009,                 1.1545,                0.97893,                 0.8433,                0.76376,                0.78705,                0.64788,                0.74879,                0.92539,                0.94568,             0.00075053,             0.00075053,             0.00075053
                     23,                0.81039,                 1.0749,                0.95693,                0.81418,                0.82241,                  0.883,                0.71527,                0.79657,                 0.8601,                0.94555,             0.00074641,             0.00074641,             0.00074641
                     24,                0.78074,                  1.048,                 0.9697,                0.82273,                0.85442,                0.91329,                0.73262,                0.80662,                0.84101,                0.95558,             0.00074229,             0.00074229,             0.00074229
                     25,                0.78469,                 1.0744,                0.98342,                0.84357,                0.73251,                0.82856,                0.69067,                0.75516,                0.85781,                0.94736,             0.00073816,             0.00073816,             0.00073816
                     26,                0.81509,                 1.0115,                0.97446,                0.93832,                0.80324,                0.88716,                0.72667,                0.79623,                0.79616,                0.96871,             0.00073404,             0.00073404,             0.00073404
                     27,                0.79094,                0.98531,                0.97656,                0.85848,                0.92767,                0.94923,                0.77987,                0.74383,                0.71781,                0.94301,             0.00072992,             0.00072992,             0.00072992
                     28,                0.79576,                0.97678,                0.96953,                0.79162,                 0.8044,                0.84618,                0.71673,                0.74943,                0.85196,                0.94569,             0.00072579,             0.00072579,             0.00072579
                     29,                0.75232,                0.89366,                0.95292,                0.85647,                0.87944,                0.93813,                0.75757,                0.76622,                0.73632,                0.93507,             0.00072167,             0.00072167,             0.00072167
                     30,                0.80869,                0.98393,                0.98709,                 0.8693,                 0.7973,                0.91421,                0.71787,                0.83392,                 0.7496,                0.97138,             0.00071755,             0.00071755,             0.00071755
                     31,                0.78131,                0.95779,                0.96975,                0.93355,                0.82735,                0.93759,                0.78097,                 0.7765,                0.75727,                0.95203,             0.00071342,             0.00071342,             0.00071342
                     32,                0.74852,                0.91683,                0.94802,                0.85142,                0.89014,                0.97155,                0.78778,                0.76511,                0.72332,                0.95204,              0.0007093,              0.0007093,              0.0007093
                     33,                0.76313,                0.90789,                0.95692,                0.87982,                 0.8801,                0.95307,                0.77041,                0.77581,                0.65423,                0.95017,             0.00070518,             0.00070518,             0.00070518
                     34,                0.80914,                0.89511,                0.98809,                0.80561,                0.95833,                0.94201,                0.77672,                 0.7596,                0.69366,                 0.9377,             0.00070105,             0.00070105,             0.00070105
                     35,                0.77223,                0.84732,                0.94794,                0.88789,                 0.8708,                0.94551,                 0.7657,                0.73288,                0.67178,                0.93537,             0.00069693,             0.00069693,             0.00069693
                     36,                0.77366,                0.84618,                0.97668,                0.90392,                0.95541,                0.98496,                 0.7995,                0.74672,                 0.6828,                0.94028,             0.00069281,             0.00069281,             0.00069281
                     37,                0.77395,                0.81983,                0.95022,                0.85729,                0.93871,                0.95107,                0.76653,                0.79744,                0.64933,                0.95916,             0.00068868,             0.00068868,             0.00068868
                     38,                0.74423,                0.81735,                0.94503,                0.84534,                0.87296,                0.93481,                0.76388,                0.71555,                0.67438,                0.93143,             0.00068456,             0.00068456,             0.00068456
                     39,                0.74137,                0.83728,                0.95263,                0.90287,                0.78595,                0.92464,                0.75892,                0.74456,                0.66468,                0.92847,             0.00068044,             0.00068044,             0.00068044
                     40,                0.73546,                0.77536,                0.92747,                0.88559,                0.80266,                0.93404,                0.79805,                0.67145,                0.66189,                0.91295,             0.00067631,             0.00067631,             0.00067631
                     41,                0.71375,                0.75829,                0.94376,                0.91461,                0.76426,                0.93187,                0.75562,                0.74726,                0.66186,                 0.9527,             0.00067219,             0.00067219,             0.00067219
                     42,                0.76346,                0.77035,                0.93441,                0.80538,                0.92261,                0.91467,                0.74931,                0.74428,                0.68026,                0.94184,             0.00066807,             0.00066807,             0.00066807
                     43,                0.73878,                0.74713,                0.92841,                0.94388,                0.90479,                0.97409,                 0.8054,                0.72952,                0.62796,                0.92376,             0.00066394,             0.00066394,             0.00066394
                     44,                0.72762,                0.72858,                 0.9396,                0.93485,                0.72849,                0.91118,                0.75195,                0.74799,                0.67675,                0.93557,             0.00065982,             0.00065982,             0.00065982
                     45,                0.68074,                0.66954,                0.91756,                0.89426,                0.81557,                0.92321,                0.76106,                0.66686,                0.64237,                0.91465,              0.0006557,              0.0006557,              0.0006557
                     46,                0.73233,                0.71035,                0.92545,                0.75497,                0.86198,                 0.9022,                0.74507,                 0.7433,                0.64273,                 0.9333,             0.00065157,             0.00065157,             0.00065157
                     47,                0.73345,                0.71386,                0.94084,                0.92689,                0.77265,                0.89956,                0.73022,                0.72942,                0.64937,                0.93194,             0.00064745,             0.00064745,             0.00064745
                     48,                0.74087,                0.74843,                0.96486,                0.91878,                0.85551,                0.92991,                0.77686,                0.67478,                0.59302,                0.91762,             0.00064333,             0.00064333,             0.00064333
                     49,                0.67784,                0.63584,                0.91431,                0.91307,                0.82928,                0.92841,                0.77904,                0.71269,                0.61375,                0.92157,              0.0006392,              0.0006392,              0.0006392
                     50,                0.71518,                0.68256,                0.92791,                0.88222,                 0.9817,                0.96926,                0.81394,                0.69879,                0.52726,                 0.9249,             0.00063508,             0.00063508,             0.00063508
                     51,                0.71051,                0.67734,                0.91841,                0.94645,                0.92642,                0.97467,                0.79632,                0.69889,                0.55186,                0.92549,             0.00063096,             0.00063096,             0.00063096
                     52,                0.67947,                0.61034,                 0.9141,                0.96127,                0.89847,                0.97379,                0.78152,                0.71963,                  0.564,                0.91465,             0.00062683,             0.00062683,             0.00062683
                     53,                0.70647,                0.65731,                0.92748,                0.95295,                 0.9428,                0.98289,                0.80949,                0.73964,                0.58037,                0.93082,             0.00062271,             0.00062271,             0.00062271
                     54,                 0.6916,                0.66269,                0.93376,                0.96908,                0.91424,                0.98109,                0.80577,                0.65671,                0.57431,                0.89791,             0.00061859,             0.00061859,             0.00061859
                     55,                0.70931,                0.63512,                0.93797,                0.89212,                0.95677,                0.98214,                0.82382,                0.67804,                0.58995,                0.90873,             0.00061446,             0.00061446,             0.00061446
                     56,                0.69884,                0.63255,                0.93608,                0.93964,                0.86972,                0.94707,                0.80449,                0.65588,                0.54906,                0.89992,             0.00061034,             0.00061034,             0.00061034
                     57,                0.67591,                0.62745,                0.92724,                 0.9674,                0.83781,                0.95663,                0.79645,                 0.7197,                0.54188,                0.92781,             0.00060622,             0.00060622,             0.00060622
                     58,                0.68638,                 0.6234,                 0.9031,                0.95752,                0.95717,                0.99369,                 0.8146,                0.75586,                0.52146,                0.94562,             0.00060209,             0.00060209,             0.00060209
                     59,                0.69152,                0.63432,                0.92924,                0.96501,                0.97782,                0.99008,                0.81414,                 0.7295,                 0.5125,                0.93027,             0.00059797,             0.00059797,             0.00059797
                     60,                0.67585,                0.64253,                0.91471,                0.89499,                0.94066,                 0.9619,                0.79375,                0.71254,                0.54267,                0.92014,             0.00059385,             0.00059385,             0.00059385
                     61,                0.67979,                0.61875,                0.91247,                0.91215,                0.95857,                0.95537,                0.79076,                0.68787,                0.54959,                 0.9197,             0.00058972,             0.00058972,             0.00058972
                     62,                0.70036,                0.63667,                0.93591,                0.92855,                0.95275,                0.97364,                0.79551,                0.73916,                 0.5301,                0.94738,              0.0005856,              0.0005856,              0.0005856
                     63,                0.69833,                0.62359,                0.92765,                0.88677,                  0.965,                0.97336,                0.80843,                0.70485,                0.50629,                0.92689,             0.00058148,             0.00058148,             0.00058148
                     64,                0.66248,                0.60385,                0.92269,                0.92124,                0.93546,                0.97513,                0.81248,                0.71248,                0.51598,                0.92875,             0.00057735,             0.00057735,             0.00057735
                     65,                0.66065,                0.61164,                0.91265,                0.95289,                0.93759,                0.96893,                0.79991,                0.68806,                0.55944,                0.91062,             0.00057323,             0.00057323,             0.00057323
                     66,                0.63929,                0.59376,                 0.9191,                0.82217,                0.92922,                0.95446,                0.79389,                0.74473,                0.56661,                0.91661,             0.00056911,             0.00056911,             0.00056911
                     67,                 0.6295,                0.56788,                0.91769,                0.89253,                0.97798,                0.96386,                0.80358,                0.69022,                0.53998,                0.91576,             0.00056498,             0.00056498,             0.00056498
                     68,                0.66979,                0.60541,                0.91885,                0.90109,                0.96062,                0.96776,                0.78448,                0.74518,                0.55048,                0.94205,             0.00056086,             0.00056086,             0.00056086
                     69,                0.62696,                0.54409,                0.91545,                0.97014,                0.95737,                0.98944,                0.82061,                0.65965,                0.49518,                 0.9085,             0.00055674,             0.00055674,             0.00055674
                     70,                0.65336,                0.56007,                0.90562,                0.95331,                 0.8113,                0.93644,                0.78421,                0.71358,                0.56774,                0.92677,             0.00055261,             0.00055261,             0.00055261
                     71,                0.67043,                0.59351,                0.90343,                0.93268,                0.79825,                0.88176,                0.72967,                  0.653,                  0.543,                0.90565,             0.00054849,             0.00054849,             0.00054849
                     72,                 0.6708,                0.56835,                0.91174,                0.83549,                0.91327,                0.93326,                 0.7776,                0.66861,                0.54728,                0.91954,             0.00054437,             0.00054437,             0.00054437
                     73,                0.63815,                0.55821,                0.91129,                0.87303,                 0.8313,                 0.9388,                0.78286,                0.68165,                0.53673,                0.92332,             0.00054024,             0.00054024,             0.00054024
                     74,                0.63648,                0.56646,                0.90098,                0.89241,                0.95815,                0.96872,                0.80007,                0.67466,                0.50067,                  0.919,             0.00053612,             0.00053612,             0.00053612
                     75,                0.65674,                 0.5605,                0.92272,                 0.9452,                0.89364,                0.97162,                0.80858,                0.64537,                0.50499,                 0.9113,               0.000532,               0.000532,               0.000532
                     76,                0.64132,                0.53326,                 0.9129,                0.94056,                0.90486,                0.95993,                0.79179,                0.68975,                0.50779,                0.91249,             0.00052787,             0.00052787,             0.00052787
                     77,                0.61974,                0.55217,                0.90406,                0.93773,                0.92506,                0.98167,                 0.8295,                0.62914,                0.49031,                 0.8956,             0.00052375,             0.00052375,             0.00052375
                     78,                0.64547,                0.55594,                0.92043,                 0.8526,                0.92426,                0.93903,                0.78612,                0.67388,                0.51888,                0.90771,             0.00051963,             0.00051963,             0.00051963
                     79,                0.63295,                0.53181,                0.91891,                0.90914,                0.81097,                0.92107,                0.77706,                0.66645,                0.53018,                0.89359,              0.0005155,              0.0005155,              0.0005155
                     80,                0.62755,                0.52958,                0.89523,                0.95042,                0.84277,                0.94656,                0.80109,                0.66494,                 0.5079,                0.89502,             0.00051138,             0.00051138,             0.00051138
                     81,                0.62394,                0.52228,                0.89128,                0.94683,                0.85262,                0.93853,                0.79142,                0.64995,                0.48304,                0.89866,             0.00050726,             0.00050726,             0.00050726
                     82,                0.59032,                0.48798,                0.88685,                0.94909,                0.85982,                0.95582,                0.80703,                0.68523,                0.48024,                0.90253,             0.00050313,             0.00050313,             0.00050313
                     83,                0.62068,                 0.5259,                0.90831,                 0.9127,                0.83655,                 0.9512,                0.79743,                 0.6403,                0.49121,                0.89497,             0.00049901,             0.00049901,             0.00049901
                     84,                 0.6491,                0.54397,                 0.9144,                0.89526,                0.93751,                0.94532,                0.80592,                0.65304,                0.49516,                0.88935,             0.00049489,             0.00049489,             0.00049489
                     85,                0.63317,                0.53535,                0.91271,                0.93695,                0.86146,                0.94653,                0.80172,                0.64958,                0.48685,                 0.8979,             0.00049076,             0.00049076,             0.00049076
                     86,                0.60972,                0.49959,                 0.8853,                0.94544,                0.93377,                0.98105,                0.81456,                0.66471,                0.47717,                0.90529,             0.00048664,             0.00048664,             0.00048664
                     87,                0.65231,                0.54868,                0.90603,                0.91627,                0.90171,                0.96825,                0.80625,                0.62993,                0.46967,                0.89969,             0.00048252,             0.00048252,             0.00048252
                     88,                 0.6145,                0.48545,                0.89918,                0.97513,                0.92257,                0.98791,                0.82499,                 0.6285,                0.47188,                0.88945,             0.00047839,             0.00047839,             0.00047839
                     89,                 0.5696,                0.49036,                0.89615,                0.91734,                0.95658,                0.96772,                0.81578,                0.64574,                0.46599,                0.88643,             0.00047427,             0.00047427,             0.00047427
                     90,                0.60697,                0.49201,                0.90567,                0.95487,                0.98319,                0.99442,                0.84442,                0.63784,                0.43775,                0.88809,             0.00047015,             0.00047015,             0.00047015
                     91,                0.61584,                0.48459,                 0.8987,                0.81982,                0.96198,                0.96296,                0.80119,                0.65049,                0.47936,                0.89715,             0.00046602,             0.00046602,             0.00046602
                     92,                0.60207,                0.48931,                0.89623,                0.95187,                0.86108,                0.95889,                0.79668,                0.66075,                0.48206,                0.89982,              0.0004619,              0.0004619,              0.0004619
                     93,                0.59522,                0.48115,                0.89266,                0.84465,                0.96464,                0.96544,                0.78126,                0.67861,                0.50107,                0.90589,             0.00045778,             0.00045778,             0.00045778
                     94,                0.62858,                0.51659,                0.92484,                0.96849,                0.86535,                0.95233,                0.77553,                0.66601,                  0.489,                 0.9118,             0.00045365,             0.00045365,             0.00045365
                     95,                0.59862,                0.48125,                0.88116,                0.91921,                0.91928,                0.95574,                 0.7904,                0.64844,                0.48473,                0.90355,             0.00044953,             0.00044953,             0.00044953
                     96,                0.59303,                0.47988,                0.90084,                0.86243,                0.96085,                0.95068,                0.79624,                0.63137,                0.45146,                0.88679,             0.00044541,             0.00044541,             0.00044541
                     97,                0.58924,                0.48327,                 0.8845,                0.91081,                0.92689,                0.94928,                 0.7953,                0.61394,                0.43842,                0.88644,             0.00044128,             0.00044128,             0.00044128
                     98,                0.56484,                0.47538,                0.86772,                0.96912,                0.93312,                0.98998,                0.82743,                0.63722,                0.45552,                0.88693,             0.00043716,             0.00043716,             0.00043716
                     99,                0.61109,                0.48817,                0.88984,                0.88055,                0.90752,                0.92502,                0.78198,                 0.6273,                0.50344,                0.88889,             0.00043304,             0.00043304,             0.00043304
                    100,                0.59692,                0.51155,                0.89585,                0.93979,                0.83389,                0.92259,                0.77236,                0.64661,                0.49499,                0.89339,             0.00042891,             0.00042891,             0.00042891
                    101,                0.56045,                0.45263,                0.87709,                0.92241,                0.83632,                0.93032,                0.77972,                0.61829,                0.50978,                0.89463,             0.00042479,             0.00042479,             0.00042479
                    102,                0.58403,                0.46867,                 0.8961,                0.95178,                0.85579,                  0.925,                0.79031,                0.63647,                0.47755,                0.89632,             0.00042066,             0.00042066,             0.00042066
                    103,                0.55309,                 0.4606,                0.87933,                0.90929,                0.83316,                0.90098,                0.76779,                0.62373,                0.52303,                0.88558,             0.00041654,             0.00041654,             0.00041654
                    104,                0.57157,                0.48009,                 0.8944,                  0.935,                0.79332,                0.90535,                0.76801,                0.61466,                0.51018,                  0.882,             0.00041242,             0.00041242,             0.00041242
                    105,                0.56814,                0.47078,                0.88836,                0.92696,                0.81716,                0.93288,                0.78707,                0.64546,                0.46412,                0.89775,             0.00040829,             0.00040829,             0.00040829
                    106,                0.55614,                 0.4622,                0.87987,                0.92488,                0.84168,                0.93279,                0.78359,                0.63267,                0.47288,                0.90096,             0.00040417,             0.00040417,             0.00040417
                    107,                0.57833,                0.47439,                0.88803,                0.91424,                0.84453,                 0.9033,                0.76231,                0.63248,                0.47824,                0.89954,             0.00040005,             0.00040005,             0.00040005
                    108,                0.56116,                0.48177,                0.87609,                0.92019,                0.83447,                0.90387,                0.75395,                0.64594,                0.47991,                  0.899,             0.00039592,             0.00039592,             0.00039592
                    109,                0.55519,                0.43534,                0.88011,                0.93213,                0.83952,                0.90799,                0.75874,                0.62929,                 0.4623,                0.89729,              0.0003918,              0.0003918,              0.0003918
                    110,                0.56072,                0.46339,                0.88737,                0.94569,                0.82696,                0.95703,                0.81207,                0.63938,                0.47761,                0.89455,             0.00038768,             0.00038768,             0.00038768
                    111,                0.54111,                0.42635,                0.87061,                0.88725,                0.89872,                0.95583,                0.82791,                0.59349,                 0.4661,                0.88096,             0.00038355,             0.00038355,             0.00038355
                    112,                0.52142,                0.42973,                0.86256,                0.94386,                0.82715,                0.94135,                0.80544,                0.59898,                0.46752,                0.88672,             0.00037943,             0.00037943,             0.00037943
                    113,                   0.55,                0.43618,                0.88508,                0.84417,                0.94519,                0.95563,                0.80966,                0.62993,                 0.4644,                0.89688,             0.00037531,             0.00037531,             0.00037531
                    114,                0.55354,                0.43244,                0.87927,                0.92486,                0.92982,                0.97707,                0.80917,                0.63937,                0.47438,                0.89558,             0.00037118,             0.00037118,             0.00037118
                    115,                0.56528,                0.44821,                0.87356,                0.92169,                0.91591,                0.95599,                0.79854,                0.64528,                0.46119,                0.90299,             0.00036706,             0.00036706,             0.00036706
                    116,                0.56078,                0.43451,                 0.8926,                0.91661,                0.90487,                0.95113,                0.78999,                0.63514,                0.46185,                0.90028,             0.00036294,             0.00036294,             0.00036294
                    117,                0.56302,                0.43627,                0.89476,                0.91854,                0.92182,                0.95015,                0.80405,                0.61267,                0.45956,                 0.8886,             0.00035881,             0.00035881,             0.00035881
                    118,                0.54391,                0.41082,                0.87335,                0.89486,                 0.8273,                0.94332,                0.78599,                0.63859,                0.46599,                0.88788,             0.00035469,             0.00035469,             0.00035469
                    119,                0.54745,                0.42456,                0.86379,                0.95771,                0.83814,                0.95658,                0.78753,                0.64864,                0.45434,                0.89824,             0.00035057,             0.00035057,             0.00035057
                    120,                0.56043,                0.40794,                0.88149,                0.86592,                0.96132,                0.97026,                   0.81,                 0.6381,                0.44075,                0.90026,             0.00034644,             0.00034644,             0.00034644
                    121,                0.52245,                0.42042,                0.86567,                0.81996,                0.95548,                0.95367,                0.79784,                0.61058,                0.45685,                0.88984,             0.00034232,             0.00034232,             0.00034232
                    122,                0.52392,                 0.4152,                0.86128,                0.90985,                0.84529,                0.94328,                    0.8,                0.61948,                 0.4899,                0.89742,              0.0003382,              0.0003382,              0.0003382
                    123,                0.50837,                0.39933,                0.87215,                0.92615,                0.84968,                0.90876,                0.77699,                0.60089,                0.49823,                0.89361,             0.00033407,             0.00033407,             0.00033407
                    124,                0.52144,                0.41952,                0.86679,                0.93047,                0.84763,                 0.8892,                0.75372,                0.59626,                0.49356,                 0.8969,             0.00032995,             0.00032995,             0.00032995
                    125,                0.53363,                0.44061,                0.87574,                0.91016,                0.85659,                0.92769,                0.77938,                0.61098,                 0.4455,                0.90458,             0.00032583,             0.00032583,             0.00032583
                    126,                 0.5297,                0.41937,                 0.8664,                0.94963,                0.86472,                0.94084,                0.80157,                0.60521,                0.40811,                0.89301,              0.0003217,              0.0003217,              0.0003217
                    127,                0.52013,                0.39638,                0.88234,                0.95005,                 0.8606,                0.91754,                0.77869,                0.59428,                0.46102,                0.88879,             0.00031758,             0.00031758,             0.00031758
                    128,                0.50168,                0.41256,                0.87166,                 0.9444,                0.84388,                0.89884,                0.76803,                0.59479,                 0.4724,                0.88734,             0.00031346,             0.00031346,             0.00031346
                    129,                0.51787,                0.40095,                0.86365,                0.91936,                0.82794,                 0.8931,                0.76341,                0.58752,                0.47328,                0.88491,             0.00030933,             0.00030933,             0.00030933
                    130,                0.51117,                0.40309,                0.85402,                0.86523,                0.85425,                0.88931,                0.75759,                0.60509,                 0.4721,                 0.8902,             0.00030521,             0.00030521,             0.00030521
                    131,                0.50598,                0.39385,                0.86534,                0.86141,                0.85497,                0.90736,                0.77408,                0.56958,                0.42574,                0.87895,             0.00030109,             0.00030109,             0.00030109
                    132,                0.53105,                0.41231,                0.87881,                0.94027,                0.85469,                0.95234,                0.79212,                0.59523,                 0.4083,                0.88213,             0.00029696,             0.00029696,             0.00029696
                    133,                0.51631,                0.40025,                0.86306,                0.98668,                0.92856,                0.98875,                0.82206,                 0.5869,                0.36952,                0.88187,             0.00029284,             0.00029284,             0.00029284
                    134,                0.49884,                0.38084,                0.86151,                0.93801,                0.95904,                0.98212,                0.81291,                 0.6129,                0.38556,                0.88871,             0.00028872,             0.00028872,             0.00028872
                    135,                0.52703,                0.39761,                0.87013,                0.92864,                0.91194,                0.94026,                0.78629,                0.58645,                0.42487,                0.87511,             0.00028459,             0.00028459,             0.00028459
                    136,                0.51581,                0.38074,                0.85572,                0.89257,                 0.9224,                0.93235,                0.77659,                0.57963,                0.45133,                0.87401,             0.00028047,             0.00028047,             0.00028047
                    137,                0.48327,                0.38147,                0.86571,                0.89714,                0.91686,                0.93172,                0.76302,                0.61796,                0.47152,                0.88726,             0.00027635,             0.00027635,             0.00027635
                    138,                0.51306,                0.40047,                0.86006,                0.92541,                0.90973,                0.93354,                0.77415,                  0.592,                0.48077,                0.88405,             0.00027222,             0.00027222,             0.00027222
                    139,                0.51666,                0.40315,                 0.8699,                0.93345,                0.91048,                0.93279,                0.76353,                0.61355,                0.46646,                0.88649,              0.0002681,              0.0002681,              0.0002681
                    140,                0.51137,                0.40094,                 0.8619,                0.93633,                0.90635,                0.93236,                0.76508,                0.58351,                0.47056,                0.88023,             0.00026398,             0.00026398,             0.00026398
